Species	ERAS6_Dag42	ERAS7_Dag8	ERAS11_Dag180	ERAS3_Dag180	ERAS9_Dag42	ERAS9_Dag4	ERAS7_Dag4opt	ERAS2_Dag0	ERAS2_Dag42	ERAS2_Dag180	ERAS4_Dag0	ERAS3_Dag4	ERAS9_Dag8	ERAS7_Dag0	ERAS11_Dag8	ERAS11_Dag4opt	ERAS4_Dag180	ERAS5_Dag4	ERAS3_Dag0	ERAS9_Dag0	ERAS11_Dag42	ERAS5_Dag180	ERAS5_Dag0	ERAS5_Dag42	ERAS6_Dag8opt	ERAS2_Dag8	ERAS4_Dag4opt	ERAS6_Dag4opt	ERAS6_Dag180	ERAS7_Dag42	ERAS2_Dag4opt	ERAS4_Dag42	ERAS3_Dag42	ERAS7_Dag180	ERAS11_Dag0	ERAS4_Dag8opt	ERAS5_Dag8	ERAS6_Dag0	ERAS3_Dag8	ERAS9_Dag180	ERAS8_Dag180	ERAS10_Dag0	ERAS12_Dag180	ERAS12_Dag2	ERAS8_Dag8	ERAS12_Dag4opt	ERAS8_Dag0	ERAS12_Dag42	ERAS1_Dag8	ERAS12_Dag0	ERAS1_Dag42	ERAS10_Dag180	ERAS10_Dag8	ERAS1_Dag0	ERAS8_Dag42	ERAS1_Dag180	ERAS10_Dag42	ERAS12_Dag8	ERAS12_Dag1opt
Alistipes shahii	0.0125043647915936	0.000128078096219825	0.00697442313380882	0	0.00803331271879829	0.00023988547943366	0	0.0252088574040666	0.0134006015509121	0.0211128039154019	0.00223644897657292	0	0.00369203703676269	0.016978112929937	0	4.23592822542359e-05	0.00894453922732382	7.54280527551253e-05	0.0136279870902719	0.0109658983996449	0.00371502395151352	0.00106964455548492	0.00438414123355297	0.00126833748194511	0	0.000945751104118355	3.33350790999746e-05	0	0.00227995327294824	0.0108979678823933	0	0.0158109148032432	0	0.00118392327889297	0.00123141557434018	0	0	0.00112715925060597	0	0.010350153513265	0.00516381204787415	0.00406646136490038	0.00436776937185042	0	0	0	5.46214229275949e-05	0.00897537499407164	0	0.00136066520503741	0	0	0	0	0.00596263997614082	0	0	0.0106939061186795	0.00221265925065449
Alistipes sp. HGB5	0.00200912827550325	0	0.0088837547840809	0.0109369362833836	0.0156298628043415	0.000159923652955773	0	0.0214429808076272	0.00792582052495097	0.0123125333251831	0.00176987944870167	0.000124006511834657	0.0166210748428398	0.00195757434271734	0	4.23592822542359e-05	0.00450961633277391	0.000161631541618126	0.00158277126231279	0.014913464831414	0.0111990913354682	0.000127507298004825	0.00505681784864619	0.00143503326528646	0	0.0248867647683716	6.66701581999491e-05	0	0.0029899958636664	0.00176375006517681	7.55865539079253e-05	0.00281012128089885	0.0174236024709896	0.000135067303648353	0.00391080601368037	0	0.000113600393036481	0.000111681834004995	0.0137197863596307	0.0110595887601963	0.000376970782671684	0.000429468113537948	0	0	0	0	0.00756506707547189	0.00152783068719309	0.0245266512723927	0.00022042776321606	0.0128520341300575	0.0300557771707292	0.00012570067583703	0.00295054560664247	0	0.0020039805677786	7.56334408720809e-05	0.00259573503679823	0.000742075814724219
Anaerococcus vaginalis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.56351825343115e-05	0	0	0	0	0	0	0	0	0	0	0
Anaerostipes caccae	7.02492404022115e-05	0	0	6.64051990490811e-05	0.000304173976731197	0	0	0	5.63313470145769e-05	6.30442054540867e-05	0	0	0	0	0	0	0	0	0	0	8.52939172541369e-05	9.56304735036188e-05	0	0	0	0.000253326188603131	0	0	0	0.00059150154624832	0	0.000194578368575358	0	0	0	7.1514661002135e-05	0	0	0	0	0	0	0	0	0	0	0	0	0.000206743337502608	0	7.49644726392311e-05	3.55916066974308e-05	0	0	0	0	0.000136140193569746	0	0
Anaerotruncus colihominis	0	0	7.27133602134716e-05	0.000162323819897754	0.00226180649364224	0	0	7.94675014488964e-05	0.000202792849252477	0.000453918279269424	6.94070372039873e-05	0	0	0	0	0	0.000140050196669997	0	0.000206224268705249	0.000141292892765647	0.000191911313821808	0.000535530651620265	0.000319777334480306	0.000129422192035215	0	0	0	0	0.000117254739751624	0.000107545735681513	0	0.00121150636855078	0.000181077609160345	7.50373909157516e-05	0	0	0	0	0	0.000114016378971095	5.62642959211469e-05	0	0	0	0	0	5.46214229275949e-05	0.000113452773801467	0	0	0.000918314789830581	0.000158827544887285	0	0	5.67870473918173e-05	5.85959230344619e-05	0.000949956017353337	0	0
Atopobium parvulum	0	0	0	0	0	0	2.94219905299816e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium rimae	0	0	0	0	0	0.000319847305911546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.70081894855477e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atopobium vaginae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.67870473918173e-05	0	0	0	0
Bacteroides caccae	0.0222900839796217	0.000365937417770928	0.00367808413746477	0.01120255707958	0	0.000159923652955773	0	0.00192782272033434	0	0	0.00221408448680719	0	0	0.00875574652935144	0	4.23592822542359e-05	0	0.000188570131887813	0	0.00501589769318047	0.00199019140259653	0.00401010452225175	0.00435222372182518	0.0212971982325468	0	0	9.04809289856452e-05	5.31215957629249e-05	0.00729910754953858	0.00286191152174692	0	0	0	0.00100883603342288	0.00120310717033236	0	0.0311378677312994	0.0034952277679341	0	0	0.0057445846135491	0.00499801297349235	0	0	3.96896810182261e-05	0	0.0120167130440709	0.0119503588404212	0	0.00162259325700711	0	3.1142655860252e-05	0	0	0.00174336235492879	0	6.05067526976648e-05	0.00408053820599557	0.00696987663956165
Bacteroides clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195134002952397	0	0	0	0.000117332526507973	0	0	0	0	0.000747953765394614	0	0	0	0	0	0	0.000709801855497984	0	0	0	0.000150074781831503	0	0	0	0	0	0	0.00178357818070036	0.000902505455985543	0	0	0	0	0.000196637122539342	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides coprocola	0	0	0	0	0	0	0	0	0	0	6.94070372039873e-05	0	0	0	0	0	0.0818061208788787	0	0	0	0	0	0	0	0	0	4.16688488749682e-05	0	0	0	0	0.035477781171348	0	0	0	7.1514661002135e-05	0	0	0	0	0.0217236446551548	0	0	0	3.96896810182261e-05	0	0.0179158267202511	0	0	0	0	0	0	0	0.00336747191033477	0	0	0	0
Bacteroides coprophilus	0	0	0	0	0	0	7.35549763249539e-05	0	0	0	0.0368898402739192	0	0	0.0383846663315626	0	0	0	0	0	0	0	0	0	0	0	0	7.14323123570883e-05	0	0	0	0	0	0	7.50373909157516e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides dorei/vulgatus	0.0140674103905428	0.00465350416265364	0.0374791926050313	0.159475103934507	0.118659048256114	0.000671679342414247	5.14884834274677e-05	0.0446282263818689	0.000162735002486555	0.249737011065274	0.010948960118929	0.000719237768641011	0.000222596827580287	0.042285646123376	0.000109704788566408	9.00134747902514e-05	0.0294512831760943	0.000150856105510251	0.0405465033765708	0.0675097441634261	0.0518658095169531	0.0174812505564615	0.0566981473898047	0.00654617447314117	0.0966944438619419	0.00019140200916681	4.66691107399644e-05	7.08287943505666e-05	0.0239883655075197	0.0877279896609285	0.000151173107815851	0.0418435661137923	0.218691365052713	0.0019441505828172	0.009766399382698	0.000107271991503203	0.000102240353732833	0.00519630755439907	0.172543023007865	0.187106578710516	0.0260861735634408	0.0520278834936769	0.0848896539969743	0.000156933429626599	0.00256792236187923	0.00025674578823018	0.0362595212534351	0.074765377935167	0.476793990928362	0.0197415512935865	0.131493932048598	6.22853117205039e-05	0	0.0651292915884839	0.00709270221923799	0.104334923956446	6.05067526976648e-05	0.0829994289544126	0.0526732927983045
Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	0	0.00104110555805981	0	0	0.00591012890731222	0	0	0	0.00365826055862358	0	0	0	0	0.00121406988006082	0	0	0	0	0	0.00190538952096389	0.0131958617681216	0	0	0	0	0	0	0	0	0	0	0	0.000298760426809007	0	0	0	0	0.00031680425298005	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides finegoldii	0	0	0.0013209593772114	0	0	0	0	0	0	0	0.00116449584642245	0	0	0.00424625998614908	0	0	0.00901300821236248	0	0	0	0.000106617396567671	0	0	0	0	0	3.33350790999746e-05	0	0.000175882109627436	0.00571784828040043	0	0.00561546344397304	0	0.00130064810920636	0.000276006939076248	0	0	0	0	0	0.00259440920080844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides fragilis	0	0	0.00305941463098182	0.00537882112297557	0	0	0	0.000187631600643228	0.120937768905595	0.0281807598379767	0	0	0	0.00180795082607652	0	4.23592822542359e-05	0	0.000125713421258542	0	0	0.00238822968311583	0.00253739523029602	0.000135498870542503	0.00018636795653071	0	0.000101330475441252	0	0	0.00093803791801299	0	0.000151173107815851	0	0	0	0.00156687016183285	0	0.176277915152346	0	0	0.000207302507220174	0	0	0	0	0	0	0	7.56351825343115e-05	0	0	0	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	0	0	0	0	0.00114786390981739	0	0.0137856662592936	0	0	0	0	0	0	0	0	0	0.00452843721313899	0	0	0	0	0	0	0	0	0.00091605265430956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00103798492232475	0	0	0
Bacteroides ovatus	0.0435344578378276	0.132981657617955	0.00293580191861892	0.0157949509166743	0	0	5.14884834274677e-05	0.0309261026471955	0	0	0.00174509122112882	0.000124006511834657	0	0.00325965518396063	0	0	0.0138849766412826	0.000549547241501627	0.00315965040266257	0	0.0017627409565855	0.0607663351634423	0.00454598710670096	0.0459263892879248	0.257386279284684	0	0	0.000136598389104664	0.0215577724647517	0.0320793565861426	0	0.078077130632554	0.0648336570189323	0.00143643005467296	0.000785558211217013	0	0.184535724173975	0.00235329578796239	0.0499848685862921	0	0.000691247064174091	0.00714891021292982	0.0216119497490261	0	0.250587416055407	0	0.00120947436482532	0.028827809571649	0.000258429171878259	0.003673796053601	0.00486644368216342	0	0	0.00342106450736951	0.00094104249963583	0.00455374030439247	0	0.0325344332654546	0.00603859162072149
Bacteroides stercoris	0	0.000219562450662557	0.0104707238707399	0	0	0	5.88439810599631e-05	0	0	0	0.000239068683702623	0.000227345271696871	0	0.0391203152883799	0	0	0	0	0.0550309461039958	0.0206711502116142	0.00661027858719561	0	0	0	0	0	0	0	0.00255761901083229	0.141062364206656	0	0	8.50277469100751e-05	0.00028347458790395	0.00087897594444282	0	0	0	8.62427639159606e-05	5.70081894855477e-05	0	0	0	0	0	0	0.00335375536775433	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides thetaiotaomicron	0.0127010626647198	0.030696050394018	0.00254133193946083	0.035699435008786	0.0268842999433958	0.000657463906595956	0	0.00323167839225512	0.0232310475088115	0.0131194991549954	0.0021516181533236	0.000279014651627978	0.306605637884355	0.00103489599009898	0	0	0.00301388023233834	0.0460940830386571	0.00227362256247538	0.00481102299867028	0.00179117226233688	0.0159702890751043	0.000752771503013903	0.0041886198230277	0	0.499609909163094	4.2859387414253e-05	0	0.0029899958636664	0.0015217721598934	0.000166290418597436	0.00884614709344178	0.0669239224638049	0.000510254258227111	0.000343947108695017	0	0.049359370774351	0.0013774092860616	0.0249960277416426	0.00449794615040972	0.00105214233372545	0.00191704607202446	0	0	0.0872696706228756	0	0.00202099264832101	0.00257159620616659	0.208218106643459	0.00112663078977097	0.0543292521374054	0	0	0.0201597744007339	0.00109031130992289	0.0273525768724868	0	0.00849221956483372	0.00161029109885906
Bacteroides uniformis	0.0429644354299925	0.00172478502909364	0.023657291745453	0.153860846196721	0.0992153117435272	0.000497540253640183	4.20314150428308e-05	0.0423959120229863	0	6.30442054540867e-05	0.0310041235190211	0.000508426698522094	0.000145071725560946	0.0549242992335661	0	4.23592822542359e-05	0.0633923210207075	0.000125713421258542	0.02798978887002	0.111232829829756	0.0576586880637966	0.05575894141751	0.0207150673285378	0.0108372966722608	4.88849564519423e-05	0	0.000173342411319868	5.31215957629249e-05	0.0332637039832888	0.166722776740265	0	0.13851317191206	0.0844821522007355	0.00416040645188445	0.00324131225889542	0.00014302932200427	0.000749762594040774	0.00216848894359698	0.427426324864494	0.110350752387175	0.0148200155456301	0.0150438323249452	0.0315436616956996	0	0.000158758724072904	0.000115535604703581	0.00723733853790632	0.034610659527701	0	0.00324518651401422	0	0.400139528086033	0.00141064091772667	0	0.00538909079748347	0	0.504969189097144	0.129861526100231	0.00406732693386819
Bacteroides xylanisolvens	0.00992270520681237	0.0242814724083418	0.00334026998480635	0.00966195646164129	0.0284480661571037	0.000453117016708024	0	0.014420040367081	0	0	0.00117991963246778	0.000124006511834657	0.270567403392923	0.0017066432366843	0	0	0	0.0160850322500305	0.00293869582904981	0.00388555455105529	0.00204705401409929	0.0287847725245892	0.00182923475232378	0.125431458743809	0.0890683906554389	0	0	0	0.0107086555288788	0.0166763106391146	0	0.0242062317818923	0.0455809457542938	0.000589579500052334	0.000684709521939153	0	0.0897159104005608	0.00156664794923673	0.0162783216891376	0.0321098627277348	0.00196221732025	0.00369560423787184	0.0258449989616798	0	0.186763762999365	0	0.00122215433800494	0.0257411737891774	0.000103371668751304	0.00371461600975212	0.00566294120395525	0	0	0.00470028776872114	0.00444358645840971	0.00386733092027449	0	0.033826451096822	0.00554208519857328
Bifidobacterium adolescentis	0	0	0	0.0200344485531078	0	0.000852926149097456	8.09104739574493e-05	0.000149001565216681	0	0	0.00451145741825917	0.0190970028225372	0	0.0053615093462959	0	0.000258391621750839	0	0	0.0148429917400603	0.000826563422679035	8.52939172541369e-05	0	0	0	0	0	0.00285348277095782	0	0.00842035599841348	0	0	0	0	0.000166749757590559	0.0168151919806453	0	0	0.00478370522321395	0	0.000114016378971095	9.37738265352449e-05	0.000896281280427022	0	0.000385200236356197	0	0	0	0.00918211115966542	0	0.0083333940482516	0	0	0	0	0	0	0	0	0.010633288889466
Bifidobacterium angulatum	0	0	0	0	0	0.00498961797222012	0	0	0	0	0.00233901715377437	0.00750239396599675	0	9.35146979005098e-05	0	0.00019297006360263	0	0	0.00426368675548103	0.00144825215084788	0	0	0	0	0	0	0.000500026186499618	0	0	0	0	0	0	0	0.0124648979947435	0	0	0.000744545560033299	0	0	0	0.000609969204735057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium animalis	0	0	0.000177238815520337	0	0	0	0.000570786616281642	0	0	0	0	0	0	0	0.00249249279622879	0	0	0	0	0	0	0	0	0	9.77699129038846e-05	0	0	0	0	0.000666783561225379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00525128077256623	0	8.30856238418145e-05	0	0	0.00353379299400202	0	0	0.000490104696851085	0	0
Bifidobacterium bifidum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00021179641127118	0	0.000248912574091913	0	0	0	0	0.00368556927875607	0	0	0	0	0	0	0	0	0	0	0	0.00088534533534458	0	0	0.000548068259468956	0	0	0	0.00120126588279455	0	0.000419440257365637	0	0.00018485696752573	0	0.0115116747817222	0	0.00536986523168013	0	0	0	0	0	0	0	0.000213640743769402	0.0226380090314603
Bifidobacterium catenulatum-Bifidobacterium pseudocatenulatum complex	0	0	0	0	0	0.00191908383546928	2.94219905299816e-05	0	0	0	0.000156165833708971	0	0	0.000966318544971935	0	0	0	0	0	0.00139173499374162	0	0	0	0	0	0	0.000152388933028455	5.31215957629249e-05	0	0	0	0	0	0	0	0	0	0.00523973937873434	0	0.00469177399466058	0	0.00127878516020522	0	0.000114133403364799	0	0.000115535604703581	0	0.008350124151788	0	0.00118173773057499	0.0276369022463299	0	0	0	0	0.00898275500118301	0	0	0.00159687200636857
Bifidobacterium dentium	0.000344221277970836	0	0	0	0.000129988878944956	0.000213231537274364	0	0	0	0	0	0	0.00388239570310721	0	0	0	0	0	0	0.000247262562339882	0	0	0	0	0.00527957529680977	0	0	0	0	0	0	0	0	0	0	8.93933262526688e-05	0	0	0.000143737939859934	0	0	0	0	0	0	0	0	0	0	6.12299342266833e-05	0	0	0.000402242162678495	0	0	0	7.56334408720809e-05	0.000146878011341464	0
Bifidobacterium longum	0.0147804401806253	0	0.0154715852194214	0.0153728035798623	0	0.00642893084882208	2.94219905299816e-05	0.000854275640575637	0	0.000126088410908173	0.00188093070822805	0.0108257684831656	0	0.000935146979005098	8.77638308531263e-05	0.000300750904005075	5.60200786679989e-05	0.0001206848844082	0.0075426526278945	0.00777110910211058	0	0	0.00221134156725364	0	0	0	0.000800041898399389	0	0.00304129481230774	0	0	0	0	0.000191762221229143	0.00421653677696483	0	0	0.00364658109516309	0	0.00564899332174973	0.000309453627566308	0.000722004364788434	0.0051051849800849	0.000136960084037759	0.00281399838419223	0.000207964088466446	0	0.0108089551767216	0.000103371668751304	0.00471470493545461	0.0212961572689282	0	0	0.0135519245886485	0.000471332493352084	0.00573707355528323	0	0	0.01117810404458
Bilophila wadsworthia	0.000117082067337019	0.0047559666396295	0.000708955262081348	0.00565772295898171	0.00673862348450653	0	0	0	0	0	8.32884446447847e-05	0	0.00778551593843741	0.00166456162262907	0.0100577350157683	0	0.00212876298938396	0.00196112937163326	0.00114970029803177	0.000402684744382094	0.000673821946307682	0.00459663809307394	0.000829253087720115	0.00472908689696675	0.00129545134597647	0	0	0	0.000164889477775721	0.00222619672860731	0	0.00256638627184129	0	0.00017821380342491	0.000375794063203815	0	0.00270368935426825	0	0.00220637737684999	0.00283330701743172	0.000950866601067383	0.00119504170723603	0	0	0	0	0	0.00133117921260388	0	6.12299342266833e-05	0	0.00287446713590126	0.0905296267378288	0	0.00148782064166561	0	0.00364250651239942	0.00345029801187584	0
Blautia hydrogenotrophica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100923494832605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bulleidia extructa	0	0	0	0	0	0	7.35549763249539e-05	0	0	0	0	0.000261791524984276	0	0	0	0	0	0	5.15560671763124e-05	0	0	0	0	0	0	0	0	0	0	0	7.55865539079253e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyrivibrio crossotus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.47185645084719e-05	0	0	0	0	0	0	0.000303517470015206	0	0	0	0	5.31215957629249e-05	0.000179139185731647	0	0	0	0	0	0.00163693346175221	0	0	0.0099117627679433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162853805210589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter concisus	0	0	0	0	0	0	0	6.62229178740804e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000379029452088114	0	0	0	0	6.86173396893597e-05	0	0	0	0	0
Campylobacter curvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000231577791996561	0	0	0	0	0	0	0	0	0	0.000110263113334724	0	0	0	0.000314251689592574	0	0	0	0	0	0
Campylobacter gracilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.89144458342025e-05	0	0	0	0	0	0	0	0	0	0
Campylobacter rectus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000244354497761888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter showae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000215606909789901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga sp. oral taxon 329	0	0	0	0	0	0	0	0.00464884883476044	0	0	0.00835660727936006	0	0	0.0138713468552423	0	0	0	0	0.0125487467507144	0	0.00422204890407978	0	0.00356633027267867	0	0	0	3.33350790999746e-05	0	0.000256494743206677	0.025098486064673	0	0	0	0.00228864042293042	0	0	0	0.00106097742304745	0	0	0.00765194424527598	0.00683414476325604	0	0	0	0	0.00321173966814258	0	0	0	0	0	0	0	0.0048496138472612	0	0	0	0
Catonella morbi	0	0	0	0	0	0	4.41329857949723e-05	0	0	0	0	0.000186009767751986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cellulosilyticum lentocellum	0	0	0	0	0	0	0	0	0	0	0	0	0.000108557073549007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000151968654629537	0.000127800442166041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
